Character attributes, sorted by character frequency
Character	Radical	Rad. nr.	Plus strokes	Total strokes	Rank	Freq. abs.	Freq. Rel.	Pronounc. nr.
女	38	12	21	0.0541
示	113	13	20	0.0515
大	37	14	19	0.0490
足	157	15	18	0.0464
月	74	16	17	0.0438
走	156	17	16	0.0412
肉	130	17	16	0.0412
生	100	17	16	0.0412
曰	73	18	15	0.0387
石	112	19	14	0.0361
丿	4	20	13	0.0335
己	49	21	12	0.0309
宀	40	22	11	0.0284
凵	17	22	11	0.0284
彳	60	22	11	0.0284
糸	120	23	10	0.0258
言	149	23	10	0.0258
艸	140	24	9	0.0232
又	29	24	9	0.0232
厶	28	24	9	0.0232
邑	163	25	8	0.0206
干	51	25	8	0.0206
乙	5	25	8	0.0206
風	182	25	8	0.0206
衣	145	26	7	0.0180
夕	36	26	7	0.0180
二	7	26	7	0.0180
金	167	26	7	0.0180
丨	2	26	7	0.0180
巾	50	26	7	0.0180
攴	66	27	6	0.0155
冫	15	27	6	0.0155
戈	62	27	6	0.0155
門	169	27	6	0.0155
禾	115	27	6	0.0155
自	132	27	6	0.0155
見	147	27	6	0.0155
高	189	28	5	0.0129
阜	170	28	5	0.0129
十	24	28	5	0.0129
廾	55	28	5	0.0129
尢	43	28	5	0.0129
襾	146	28	5	0.0129
斤	69	28	5	0.0129
竹	118	28	5	0.0129
火	86	28	5	0.0129
里	166	29	4	0.0103
弓	57	29	4	0.0103
止	77	29	4	0.0103
血	143	29	4	0.0103
疒	104	29	4	0.0103
丶	3	29	4	0.0103
囗	31	29	4	0.0103
力	19	29	4	0.0103
豕	152	30	3	0.0077
亠	8	30	3	0.0077
面	176	30	3	0.0077
士	33	30	3	0.0077
匕	21	30	3	0.0077
冂	13	30	3	0.0077
小	42	30	3	0.0077
入	11	30	3	0.0077
馬	187	31	2	0.0052
老	125	31	2	0.0052
卩	26	31	2	0.0052
皮	107	31	2	0.0052
非	175	31	2	0.0052
夂	34	31	2	0.0052
禸	114	31	2	0.0052
長	168	31	2	0.0052
八	12	31	2	0.0052
立	117	31	2	0.0052
黑	203	31	2	0.0052
田	102	31	2	0.0052
靑	174	31	2	0.0052
气	84	31	2	0.0052
山	46	31	2	0.0052
行	144	31	2	0.0052
玉	96	31	2	0.0052
歹	78	31	2	0.0052
戶	63	31	2	0.0052
至	133	31	2	0.0052
頁	181	32	1	0.0026
用	101	32	1	0.0026
角	148	32	1	0.0026
几	16	32	1	0.0026
厂	27	32	1	0.0026
身	158	32	1	0.0026
虫	142	32	1	0.0026
雨	173	32	1	0.0026
夊	35	32	1	0.0026
矢	111	32	1	0.0026
